epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,723.014,1.12115,1.7688,1.55325,1.17942,0.50588,0.60064,0.55199,0.40153,0.51295,0.57136,0.53718,0.37893,1.19183,1.59706,1.76153,1.26675,0.000277495,0.000277495,0.000277495
2,1044.18,1.17263,1.86928,1.5526,1.21689,0.5952,0.55504,0.51481,0.37249,0.58987,0.53464,0.49442,0.34118,1.25011,1.80394,1.89049,1.27874,0.000527681,0.000527681,0.000527681
3,1358.03,1.1656,1.82543,1.49804,1.21406,0.62289,0.64911,0.62829,0.46067,0.59849,0.64663,0.60708,0.4311,1.14507,1.41919,1.33789,1.21252,0.000750378,0.000750378,0.000750378
4,1669.4,1.12339,1.74975,1.39507,1.1897,0.59042,0.67243,0.64271,0.48186,0.59068,0.66196,0.63096,0.45329,1.05122,1.34478,1.41306,1.15042,0.000709299,0.000709299,0.000709299
5,1978.51,1.06059,1.61541,1.24208,1.15517,0.66932,0.71767,0.70145,0.52973,0.6515,0.7139,0.68782,0.49106,1.01347,1.25687,1.16058,1.13481,0.000668066,0.000668066,0.000668066
6,2291.72,1.00696,1.52575,1.15363,1.12498,0.75917,0.71427,0.76967,0.58791,0.77028,0.70566,0.75917,0.54215,0.97211,1.19359,1.02357,1.10068,0.000626832,0.000626832,0.000626832
7,2601.02,0.97585,1.46212,1.097,1.11023,0.78015,0.79602,0.80118,0.63382,0.77521,0.78317,0.78808,0.56837,0.89013,1.11554,0.92027,1.05214,0.000585599,0.000585599,0.000585599
8,2912.74,0.93359,1.40114,1.01297,1.08439,0.75662,0.77972,0.79209,0.62792,0.74507,0.76758,0.76949,0.56486,0.85428,1.08188,0.85398,1.01796,0.000544365,0.000544365,0.000544365
9,3221.28,0.8968,1.34088,0.93542,1.06717,0.8083,0.80091,0.84245,0.66363,0.80195,0.78821,0.8262,0.60309,0.83189,1.0303,0.7819,1.01325,0.000503132,0.000503132,0.000503132
10,3529.57,0.87533,1.29868,0.87604,1.05895,0.84884,0.82903,0.86612,0.70108,0.84059,0.8195,0.85031,0.61598,0.77349,0.99639,0.70944,0.97998,0.000461898,0.000461898,0.000461898
11,3831.4,0.79711,1.08772,0.73303,1.0066,0.86355,0.82863,0.86316,0.68389,0.86058,0.82451,0.85564,0.62486,0.79118,0.9726,0.7362,0.98048,0.000420665,0.000420665,0.000420665
12,4131.8,0.75181,1.03081,0.66701,0.98706,0.90267,0.85267,0.8997,0.73915,0.89101,0.84193,0.88211,0.66401,0.73442,0.93761,0.62018,0.96039,0.000379431,0.000379431,0.000379431
13,4431.91,0.72128,0.98819,0.60878,0.96804,0.90992,0.8543,0.91055,0.7567,0.89854,0.84616,0.89923,0.68353,0.71403,0.90713,0.56733,0.94669,0.000338198,0.000338198,0.000338198
14,4729.18,0.68745,0.93398,0.56095,0.95013,0.91877,0.88542,0.92327,0.77085,0.90147,0.87208,0.90542,0.68653,0.67612,0.87024,0.56568,0.92434,0.000296964,0.000296964,0.000296964
15,5025.35,0.64779,0.89402,0.51267,0.9324,0.91841,0.88037,0.92794,0.78751,0.91254,0.86523,0.91219,0.697,0.64325,0.84016,0.52019,0.91747,0.000255731,0.000255731,0.000255731
16,5325.59,0.61875,0.86069,0.48414,0.9211,0.92977,0.88012,0.92975,0.79218,0.9213,0.86667,0.91273,0.70195,0.62051,0.85334,0.51022,0.90421,0.000214497,0.000214497,0.000214497
17,5626.7,0.59212,0.82434,0.44911,0.91284,0.92715,0.90117,0.93235,0.80627,0.90741,0.89162,0.91807,0.71613,0.58483,0.80182,0.47814,0.89253,0.000173264,0.000173264,0.000173264
18,5926.53,0.56178,0.79567,0.42298,0.90149,0.9312,0.90324,0.93534,0.82338,0.931,0.88869,0.92399,0.72538,0.55905,0.7816,0.46023,0.8817,0.000132031,0.000132031,0.000132031
19,6225.04,0.53381,0.75834,0.39566,0.89224,0.92224,0.91927,0.93792,0.82911,0.92032,0.90136,0.92399,0.73418,0.53921,0.79457,0.43161,0.87354,9.0797e-05,9.0797e-05,9.0797e-05
20,6523.29,0.50926,0.73856,0.37909,0.87972,0.93889,0.91242,0.94431,0.83686,0.93203,0.90314,0.93218,0.74281,0.52685,0.78366,0.41196,0.86983,4.95635e-05,4.95635e-05,4.95635e-05
